"SECT","TYPE","INIT_STN","X_COORD","Y_COORD","AZIMUTH","LENGTH","WIDTH","LINEAR_FACTOR","RECOV","BARRIER","PANEL_CO","PANEL_LV","PANEL_WT","TEXT_CO","TEXT_LV","TEXT_WT","TEXT_FONT","KIND","PREVIOUS","LEAPFROG_OVERRIDE","ENTRIES","ENTRY_WIDTH","ENTRY_CENTERS","CROSSCUT_CENTERS","CROSSCUT_ANGLE","GOB_EYE_DEPTH","BELT_PILLARS_SPLIT"
"E-07G","CMG",0.00,1751780.47,456878.15,280.50,12131.06,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"E-07S",0,3,16.00,90.00,180.00,60.00,0.00,1
"E-07X","CMX",0.00,1739852.53,459088.86,280.50,1404.93,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"E-07G",0,4,16.00,90.00,180.00,60.00,0.00,1
"E-08L","LW",250.00,1751570.37,457116.43,280.50,11595.06,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"E-07X",0,0,0.00,0.00,0.00,0.00,0.00,0
"E-08S","CMS",0.00,1740388.15,460409.37,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"E-08L",0,4,16.00,90.00,90.00,60.00,0.00,0
"E-08G","CMG",0.00,1752034.87,458250.78,280.50,12131.06,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"E-08S",0,3,16.00,90.00,180.00,60.00,0.00,1
"E-08X","CMX",0.00,1740106.93,460461.49,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"E-08G",0,4,16.00,90.00,180.00,60.00,0.00,1
"G-08L","LW",250.00,1719491.37,445645.68,280.50,14535.88,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"G-07X",0,0,0.00,0.00,0.00,0.00,0.00,0
"G-08S","CMS",0.00,1704917.90,448347.95,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"G-08L",0,4,16.00,90.00,90.00,60.00,0.00,0
"G-08G","CMG",0.00,1719701.44,445407.39,280.50,15083.46,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"G-08S",0,3,16.00,90.00,180.00,60.00,0.00,1
"G-08X","CMX",0.00,1704854.37,448068.86,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"G-08G",0,4,16.00,90.00,180.00,60.00,0.00,1
"G-09L","LW",250.00,1719236.85,444273.08,280.50,14547.46,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"G-08X",0,0,0.00,0.00,0.00,0.00,0.00,0
"G-09S","CMS",0.00,1704651.99,446977.46,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"G-09L",0,4,16.00,90.00,90.00,60.00,0.00,0
"G-09G","CMG",0.00,1719446.93,444034.78,280.50,15089.68,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"G-09S",0,3,16.00,90.00,180.00,60.00,0.00,1
"G-09X","CMX",0.00,1704593.74,446697.39,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"G-09G",0,4,16.00,90.00,180.00,60.00,0.00,1
"G-10L","LW",250.00,1718982.34,442900.47,280.50,14553.68,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"G-09X",0,0,0.00,0.00,0.00,0.00,0.00,0
"G-10S","CMS",0.00,1704391.37,445605.99,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"G-10L",0,4,16.00,90.00,90.00,60.00,0.00,0
"G-10G","CMG",0.00,1719192.42,442662.18,280.50,15089.68,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"G-10S",0,3,16.00,90.00,180.00,60.00,0.00,1
"G-10X","CMX",0.00,1704339.22,445324.78,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"G-10G",0,4,16.00,90.00,180.00,60.00,0.00,1
"G-11L","LW",250.00,1718727.83,441527.87,280.50,14537.28,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"G-10X",0,0,0.00,0.00,0.00,0.00,0.00,0
"G-11S","CMS",0.00,1704152.98,444230.40,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"G-11L",0,4,16.00,90.00,90.00,60.00,0.00,0
"G-11G","CMG",0.00,1718937.90,441289.58,280.50,15073.28,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"G-11S",0,3,16.00,90.00,180.00,60.00,0.00,1
"G-11X","CMX",0.00,1704100.84,443949.19,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"G-11G",0,4,16.00,90.00,180.00,60.00,0.00,1
"H-00G","CMG",0.00,1718768.00,439763.53,100.45,14536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,,0,3,16.00,90.00,180.00,60.00,0.00,1
"H-01L","LW",250.00,1718978.28,439525.41,100.45,14000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"H-00G",0,0,0.00,0.00,0.00,0.00,0.00,0
"H-01S","CMS",0.00,1732528.04,435804.66,10.45,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"H-01L",0,4,16.00,90.00,90.00,60.00,0.00,0
"H-01G","CMG",0.00,1718514.66,438390.71,100.45,14536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"H-01S",0,3,16.00,90.00,180.00,60.00,0.00,1
"H-01X","CMX",0.00,1732809.29,435752.76,100.45,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"H-01G",0,4,16.00,90.00,180.00,60.00,0.00,1
"H-02L","LW",250.00,1718724.94,438152.59,100.45,14000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"H-01X",0,0,0.00,0.00,0.00,0.00,0.00,0
"H-02S","CMS",0.00,1732274.70,434431.84,10.45,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"H-02L",0,4,16.00,90.00,90.00,60.00,0.00,0
"A-01G","CMG",0.00,1750537.79,446628.42,100.50,13379.24,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"A-01S",0,3,16.00,90.00,180.00,60.00,0.00,1
"A-02L","LW",250.00,1750747.89,446390.15,100.50,12843.24,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"A-01X",0,0,0.00,0.00,0.00,0.00,0.00,0
"A-02S","CMS",0.00,1763157.39,442869.75,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"A-02L",0,4,16.00,90.00,90.00,60.00,0.00,0
"A-02G","CMG",0.00,1750283.39,445255.80,100.50,13391.42,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"A-02S",0,3,16.00,90.00,180.00,60.00,0.00,1
"A-03L","LW",250.00,1750493.49,445017.52,100.50,12855.42,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"A-02X",0,0,0.00,0.00,0.00,0.00,0.00,0
"A-03S","CMS",0.00,1762914.96,441494.90,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"A-03L",0,4,16.00,90.00,90.00,60.00,0.00,0
"F-00G","CMG",0.00,1752165.73,458956.88,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,,0,3,16.00,90.00,180.00,60.00,0.00,1
"F-01L","LW",250.00,1751955.64,459195.15,280.50,13000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"F-00G",0,0,0.00,0.00,0.00,0.00,0.00,0
"H-02G","CMG",0.00,1718261.32,437017.89,100.45,11262.25,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"H-02S",0,3,16.00,90.00,180.00,60.00,0.00,1
"H-02X","CMX",0.00,1729336.57,434974.04,100.45,3273.74,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"H-02G",0,4,16.00,90.00,180.00,60.00,0.00,1
"H-03L","LW",250.00,1718471.59,436779.77,100.45,10726.25,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"H-02X",0,0,0.00,0.00,0.00,0.00,0.00,0
"H-03S","CMS",0.00,1728801.97,433653.13,10.45,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"H-03L",0,4,16.00,90.00,90.00,60.00,0.00,0
"H-03G","CMG",0.00,1718007.97,435645.07,100.45,11262.25,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"H-03S",0,3,16.00,90.00,180.00,60.00,0.00,1
"H-03X","CMX",0.00,1729099.56,433689.73,100.45,464.28,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"H-03G",0,4,16.00,90.00,180.00,60.00,0.00,1
"H-04L","LW",250.00,1718218.25,435406.95,100.45,11190.54,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"H-03X",0,0,0.00,0.00,0.00,0.00,0.00,0
"H-04S","CMS",0.00,1729005.21,432196.05,10.45,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"H-04L",0,4,16.00,90.00,90.00,60.00,0.00,0
"I-00G","CMG",0.00,1715791.12,427191.95,280.45,14536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,,0,3,16.00,90.00,180.00,60.00,0.00,1
"I-01L","LW",250.00,1715580.84,427430.07,280.45,14000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"I-00G",0,0,0.00,0.00,0.00,0.00,0.00,0
"F-01S","CMS",0.00,1739392.01,462744.12,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"F-01L",0,4,16.00,90.00,90.00,60.00,0.00,0
"F-01G","CMG",0.00,1752420.14,460329.50,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"F-01S",0,3,16.00,90.00,180.00,60.00,0.00,1
"F-01X","CMX",0.00,1739110.80,462796.24,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"F-01G",0,4,16.00,90.00,180.00,60.00,0.00,1
"F-02L","LW",250.00,1752210.04,460567.78,280.50,13000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"F-01X",0,0,0.00,0.00,0.00,0.00,0.00,0
"F-02S","CMS",0.00,1739646.41,464116.75,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"F-02L",0,4,16.00,90.00,90.00,60.00,0.00,0
"F-02G","CMG",0.00,1752674.54,461702.13,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"F-02S",0,3,16.00,90.00,180.00,60.00,0.00,1
"F-02X","CMX",0.00,1739365.20,464168.87,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"F-02G",0,4,16.00,90.00,180.00,60.00,0.00,1
"F-03L","LW",250.00,1752464.44,461940.40,280.50,13000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"F-02X",0,0,0.00,0.00,0.00,0.00,0.00,0
"F-03S","CMS",0.00,1739900.81,465489.37,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"F-03L",0,4,16.00,90.00,90.00,60.00,0.00,0
"F-03G","CMG",0.00,1752928.94,463074.75,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"F-03S",0,3,16.00,90.00,180.00,60.00,0.00,1
"F-03X","CMX",0.00,1739619.60,465541.49,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"F-03G",0,4,16.00,90.00,180.00,60.00,0.00,1
"F-04L","LW",250.00,1752718.84,463313.03,280.50,13000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"F-03X",0,0,0.00,0.00,0.00,0.00,0.00,0
"F-04S","CMS",0.00,1740155.21,466861.99,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"F-04L",0,4,16.00,90.00,90.00,60.00,0.00,0
"F-04G","CMG",0.00,1753183.34,464447.37,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"F-04S",0,3,16.00,90.00,180.00,60.00,0.00,1
"F-04X","CMX",0.00,1739874.00,466914.11,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"F-04G",0,4,16.00,90.00,180.00,60.00,0.00,1
"F-05L","LW",250.00,1752973.24,464685.65,280.50,13000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"F-04X",0,0,0.00,0.00,0.00,0.00,0.00,0
"F-05S","CMS",0.00,1740409.61,468234.62,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"F-05L",0,4,16.00,90.00,90.00,60.00,0.00,0
"F-05G","CMG",0.00,1753437.74,465820.00,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"F-05S",0,3,16.00,90.00,180.00,60.00,0.00,1
"F-05X","CMX",0.00,1740128.40,468286.74,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"F-05G",0,4,16.00,90.00,180.00,60.00,0.00,1
"F-06L","LW",250.00,1753227.64,466058.27,280.50,13000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"F-05X",0,0,0.00,0.00,0.00,0.00,0.00,0
"F-06S","CMS",0.00,1740664.01,469607.24,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"F-06L",0,4,16.00,90.00,90.00,60.00,0.00,0
"F-06G","CMG",0.00,1753692.14,467192.62,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"F-06S",0,3,16.00,90.00,180.00,60.00,0.00,1
"F-06X","CMX",0.00,1740382.80,469659.36,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"F-06G",0,4,16.00,90.00,180.00,60.00,0.00,1
"F-07L","LW",250.00,1753482.04,467430.90,280.50,13000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"F-06X",0,0,0.00,0.00,0.00,0.00,0.00,0
"F-07S","CMS",0.00,1740918.41,470979.87,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"F-07L",0,4,16.00,90.00,90.00,60.00,0.00,0
"F-07G","CMG",0.00,1753946.54,468565.24,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"F-07S",0,3,16.00,90.00,180.00,60.00,0.00,1
"F-07X","CMX",0.00,1740637.20,471031.98,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"F-07G",0,4,16.00,90.00,180.00,60.00,0.00,1
"F-08L","LW",250.00,1753736.44,468803.52,280.50,13000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"F-07X",0,0,0.00,0.00,0.00,0.00,0.00,0
"F-08S","CMS",0.00,1741172.81,472352.49,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"F-08L",0,4,16.00,90.00,90.00,60.00,0.00,0
"F-08G","CMG",0.00,1754200.94,469937.87,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"F-08S",0,3,16.00,90.00,180.00,60.00,0.00,1
"F-08X","CMX",0.00,1740891.60,472404.61,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"F-08G",0,4,16.00,90.00,180.00,60.00,0.00,1
"I-01S","CMS",0.00,1702031.08,431150.82,190.45,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"I-01L",0,4,16.00,90.00,90.00,60.00,0.00,0
"I-01G","CMG",0.00,1716044.46,428564.77,280.45,14536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"I-01S",0,3,16.00,90.00,180.00,60.00,0.00,1
"I-01X","CMX",0.00,1701749.83,431202.72,280.45,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"I-01G",0,4,16.00,90.00,180.00,60.00,0.00,1
"I-02L","LW",250.00,1715834.18,428802.89,280.45,14000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"I-01X",0,0,0.00,0.00,0.00,0.00,0.00,0
"I-02S","CMS",0.00,1702284.42,432523.64,190.45,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"I-02L",0,4,16.00,90.00,90.00,60.00,0.00,0
"I-02G","CMG",0.00,1716297.80,429937.59,280.45,14536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"I-02S",0,3,16.00,90.00,180.00,60.00,0.00,1
"I-02X","CMX",0.00,1702003.17,432575.54,280.45,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"I-02G",0,4,16.00,90.00,180.00,60.00,0.00,1
"G-00G","CMG",0.00,1719606.61,441352.66,100.50,14536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,,0,3,16.00,90.00,180.00,60.00,0.00,1
"G-01L","LW",250.00,1720071.20,442486.97,100.50,14000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"G-00G",0,0,0.00,0.00,0.00,0.00,0.00,0
"G-01S","CMS",0.00,1734117.77,439882.40,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"G-01L",0,4,16.00,90.00,90.00,60.00,0.00,0
"G-01G","CMG",0.00,1719861.12,442725.26,100.50,14536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"G-01S",0,3,16.00,90.00,180.00,60.00,0.00,1
"G-01X","CMX",0.00,1734169.91,440163.60,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"G-01G",0,4,16.00,90.00,180.00,60.00,0.00,1
"G-02L","LW",250.00,1720325.71,443859.57,100.50,14000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"G-01X",0,0,0.00,0.00,0.00,0.00,0.00,0
"G-02S","CMS",0.00,1734372.28,441255.00,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"G-02L",0,4,16.00,90.00,90.00,60.00,0.00,0
"G-02G","CMG",0.00,1720115.64,444097.86,100.50,14536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"G-02S",0,3,16.00,90.00,180.00,60.00,0.00,1
"G-02X","CMX",0.00,1734424.42,441536.21,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"G-02G",0,4,16.00,90.00,180.00,60.00,0.00,1
"G-03L","LW",250.00,1720580.23,445232.17,100.50,14000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"G-02X",0,0,0.00,0.00,0.00,0.00,0.00,0
"G-03S","CMS",0.00,1734626.79,442627.60,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"G-03L",0,4,16.00,90.00,90.00,60.00,0.00,0
"G-03G","CMG",0.00,1720370.15,445470.47,100.50,14536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"G-03S",0,3,16.00,90.00,180.00,60.00,0.00,1
"G-03X","CMX",0.00,1734678.93,442908.81,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"G-03G",0,4,16.00,90.00,180.00,60.00,0.00,1
"G-04L","LW",250.00,1720834.74,446604.78,100.50,14000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"G-03X",0,0,0.00,0.00,0.00,0.00,0.00,0
"G-04S","CMS",0.00,1734881.31,444000.21,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"G-04L",0,4,16.00,90.00,90.00,60.00,0.00,0
"G-04G","CMG",0.00,1720624.66,446843.07,100.50,14536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"G-04S",0,3,16.00,90.00,180.00,60.00,0.00,1
"G-04X","CMX",0.00,1734933.45,444281.41,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"G-04G",0,4,16.00,90.00,180.00,60.00,0.00,1
"G-05L","LW",250.00,1721089.25,447977.38,100.50,14000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"G-04X",0,0,0.00,0.00,0.00,0.00,0.00,0
"G-05S","CMS",0.00,1735135.82,445372.81,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"G-05L",0,4,16.00,90.00,90.00,60.00,0.00,0
"G-05G","CMG",0.00,1720879.18,448215.67,100.50,14536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"G-05S",0,3,16.00,90.00,180.00,60.00,0.00,1
"G-05X","CMX",0.00,1735187.96,445654.02,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"G-05G",0,4,16.00,90.00,180.00,60.00,0.00,1
"G-06G","CMG",0.00,1720210.47,448152.59,280.50,15059.44,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,,0,3,16.00,90.00,180.00,60.00,0.00,1
"G-07L","LW",250.00,1719745.88,447018.28,280.50,14523.44,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"G-06G",0,0,0.00,0.00,0.00,0.00,0.00,0
"I-03L","LW",250.00,1716087.52,430175.71,280.45,14000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"I-02X",0,0,0.00,0.00,0.00,0.00,0.00,0
"I-03S","CMS",0.00,1702537.76,433896.46,190.45,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"I-03L",0,4,16.00,90.00,90.00,60.00,0.00,0
"I-03G","CMG",0.00,1716551.14,431310.41,280.45,14536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"I-03S",0,3,16.00,90.00,180.00,60.00,0.00,1
"G-07S","CMS",0.00,1705184.64,449718.28,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"G-07L",0,4,16.00,90.00,90.00,60.00,0.00,0
"G-07G","CMG",0.00,1719955.96,446779.99,280.50,15071.88,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"G-07S",0,3,16.00,90.00,180.00,60.00,0.00,1
"G-07X","CMX",0.00,1705120.27,449439.35,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"G-07G",0,4,16.00,90.00,180.00,60.00,0.00,1
"I-03X","CMX",0.00,1702256.51,433948.36,280.45,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"I-03G",0,4,16.00,90.00,180.00,60.00,0.00,1
"I-04L","LW",250.00,1716340.86,431548.53,280.45,14000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"I-03X",0,0,0.00,0.00,0.00,0.00,0.00,0
"I-04S","CMS",0.00,1702791.10,435269.28,190.45,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"I-04L",0,4,16.00,90.00,90.00,60.00,0.00,0
"D-00G","CMG",0.00,1747856.00,435703.64,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,,0,3,16.00,90.00,180.00,60.00,0.00,1
"D-01L","LW",250.00,1747645.91,435941.92,280.50,13000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"D-00G",0,0,0.00,0.00,0.00,0.00,0.00,0
"D-01S","CMS",0.00,1735082.28,439490.89,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"D-01L",0,4,16.00,90.00,90.00,60.00,0.00,0
"D-01G","CMG",0.00,1748110.40,437076.27,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"D-01S",0,3,16.00,90.00,180.00,60.00,0.00,1
"D-01X","CMX",0.00,1734801.06,439543.01,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"D-01G",0,4,16.00,90.00,180.00,60.00,0.00,1
"D-02L","LW",250.00,1747900.31,437314.54,280.50,13000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"D-01X",0,0,0.00,0.00,0.00,0.00,0.00,0
"D-02S","CMS",0.00,1735336.68,440863.51,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"D-02L",0,4,16.00,90.00,90.00,60.00,0.00,0
"D-02G","CMG",0.00,1748364.80,438448.89,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"D-02S",0,3,16.00,90.00,180.00,60.00,0.00,1
"D-02X","CMX",0.00,1735055.47,440915.63,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"D-02G",0,4,16.00,90.00,180.00,60.00,0.00,1
"D-03L","LW",250.00,1748154.71,438687.17,280.50,13000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"D-02X",0,0,0.00,0.00,0.00,0.00,0.00,0
"D-03S","CMS",0.00,1735591.08,442236.13,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"D-03L",0,4,16.00,90.00,90.00,60.00,0.00,0
"D-03G","CMG",0.00,1748619.20,439821.51,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"D-03S",0,3,16.00,90.00,180.00,60.00,0.00,1
"D-03X","CMX",0.00,1735309.87,442288.25,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"D-03G",0,4,16.00,90.00,180.00,60.00,0.00,1
"D-04L","LW",250.00,1748409.11,440059.79,280.50,13000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"D-03X",0,0,0.00,0.00,0.00,0.00,0.00,0
"D-04S","CMS",0.00,1735845.48,443608.76,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"D-04L",0,4,16.00,90.00,90.00,60.00,0.00,0
"D-04G","CMG",0.00,1748873.61,441194.14,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"D-04S",0,3,16.00,90.00,180.00,60.00,0.00,1
"D-04X","CMX",0.00,1735564.27,443660.88,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"D-04G",0,4,16.00,90.00,180.00,60.00,0.00,1
"D-05L","LW",250.00,1748663.51,441432.41,280.50,13000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"D-04X",0,0,0.00,0.00,0.00,0.00,0.00,0
"D-05S","CMS",0.00,1736099.88,444981.38,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"D-05L",0,4,16.00,90.00,90.00,60.00,0.00,0
"D-05G","CMG",0.00,1749128.01,442566.76,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"D-05S",0,3,16.00,90.00,180.00,60.00,0.00,1
"D-05X","CMX",0.00,1735818.67,445033.50,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"D-05G",0,4,16.00,90.00,180.00,60.00,0.00,1
"D-06L","LW",250.00,1748917.91,442805.04,280.50,13000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"D-05X",0,0,0.00,0.00,0.00,0.00,0.00,0
"D-06S","CMS",0.00,1736354.28,446354.01,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"D-06L",0,4,16.00,90.00,90.00,60.00,0.00,0
